               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.038867,            0.011175,            0.003977,             0.60036,                   1,               0.995,             0.40723,            0.028875,           0.0066686,           0.0025948,           0.0093367,           0.0093367,           0.0093367
                  69,            0.035452,            0.010949,           0.0050426,             0.75523,                   1,              0.9675,             0.43635,            0.027295,           0.0072186,           0.0034069,           0.0093268,           0.0093268,           0.0093268
                  70,            0.041875,            0.010422,           0.0030224,             0.67629,                   1,               0.995,              0.4729,            0.028412,           0.0065913,           0.0033966,           0.0093169,           0.0093169,           0.0093169
                  71,            0.035124,            0.010511,           0.0043201,             0.81571,                   1,               0.995,              0.4979,            0.022986,           0.0064056,           0.0032555,            0.009307,            0.009307,            0.009307
                  72,            0.035667,            0.013922,           0.0064894,             0.82821,                   1,               0.995,             0.59535,             0.02367,           0.0057261,           0.0023495,           0.0092971,           0.0092971,           0.0092971
                  73,            0.033242,             0.01054,           0.0034037,             0.92274,                   1,               0.995,             0.73358,            0.019421,           0.0054593,           0.0018833,           0.0092872,           0.0092872,           0.0092872
                  74,            0.030917,            0.011466,           0.0061207,             0.88221,                   1,               0.995,             0.67942,            0.024488,           0.0054035,           0.0016365,           0.0092773,           0.0092773,           0.0092773
                  75,             0.03659,           0.0097846,           0.0067058,             0.90948,                   1,               0.995,             0.68555,            0.021014,           0.0050745,           0.0013809,           0.0092674,           0.0092674,           0.0092674
                  76,            0.032535,             0.01026,           0.0043141,             0.92019,                   1,               0.995,             0.53446,            0.022045,           0.0045955,           0.0012426,           0.0092575,           0.0092575,           0.0092575
                  77,            0.033582,              0.0114,            0.003351,             0.71556,                   1,               0.995,             0.72202,            0.029825,           0.0045114,           0.0012409,           0.0092476,           0.0092476,           0.0092476
                  78,            0.036301,            0.010661,           0.0041217,             0.79913,                   1,               0.995,             0.64443,            0.020719,           0.0040267,           0.0012318,           0.0092377,           0.0092377,           0.0092377
                  79,            0.037546,             0.01034,           0.0029331,             0.93084,                   1,               0.995,             0.76917,            0.023706,           0.0041566,           0.0012676,           0.0092278,           0.0092278,           0.0092278
                  80,            0.037145,            0.012613,           0.0026485,             0.83761,                   1,               0.951,             0.67573,            0.022927,           0.0041664,           0.0013294,           0.0092179,           0.0092179,           0.0092179
                  81,            0.036986,            0.010253,           0.0035554,             0.85694,             0.97311,               0.995,             0.70817,            0.023593,            0.004468,           0.0014267,            0.009208,            0.009208,            0.009208
                  82,            0.039357,            0.010595,           0.0048423,             0.80579,                   1,               0.995,             0.75951,            0.018958,           0.0041986,           0.0014591,           0.0091981,           0.0091981,           0.0091981
                  83,            0.028158,           0.0093489,           0.0028521,             0.93275,                   1,               0.995,             0.77445,            0.022285,           0.0039527,           0.0014576,           0.0091882,           0.0091882,           0.0091882
                  84,            0.035445,            0.009779,           0.0030526,             0.81409,                   1,               0.995,             0.64035,            0.020951,           0.0037308,           0.0014969,           0.0091783,           0.0091783,           0.0091783
