               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.037157,            0.010622,           0.0027051,              0.9214,                   1,               0.995,             0.63035,            0.022763,           0.0047686,           0.0016426,           0.0093367,           0.0093367,           0.0093367
                  69,            0.036437,            0.010484,           0.0041805,             0.88821,                   1,               0.995,             0.64355,            0.024521,           0.0047791,            0.001799,           0.0093268,           0.0093268,           0.0093268
                  70,            0.039604,           0.0098305,            0.003209,             0.79966,             0.88736,             0.85825,             0.69385,            0.023576,           0.0045445,           0.0016422,           0.0093169,           0.0093169,           0.0093169
                  71,            0.039792,           0.0098092,           0.0036328,             0.85476,                   1,               0.995,              0.6292,            0.028175,           0.0044272,           0.0017891,            0.009307,            0.009307,            0.009307
                  72,            0.045691,            0.012563,           0.0046934,             0.86996,                   1,               0.995,             0.79744,            0.019007,           0.0045497,           0.0018368,           0.0092971,           0.0092971,           0.0092971
                  73,            0.033149,            0.010011,           0.0025574,             0.78868,                   1,                0.94,             0.68567,            0.023296,           0.0045216,           0.0014484,           0.0092872,           0.0092872,           0.0092872
                  74,              0.0321,            0.010414,           0.0046567,             0.83392,             0.92352,               0.995,             0.64675,            0.020819,           0.0044014,           0.0013313,           0.0092773,           0.0092773,           0.0092773
                  75,             0.03632,           0.0090449,           0.0046806,             0.90132,             0.99829,               0.995,             0.63017,            0.021602,           0.0043166,           0.0012466,           0.0092674,           0.0092674,           0.0092674
                  76,            0.032176,           0.0097645,           0.0031746,             0.89414,                   1,               0.995,             0.56879,            0.021861,           0.0042291,           0.0010887,           0.0092575,           0.0092575,           0.0092575
                  77,            0.033133,            0.010355,           0.0028148,             0.88981,              0.9212,               0.995,             0.60051,               0.023,           0.0041342,           0.0011738,           0.0092476,           0.0092476,           0.0092476
                  78,            0.032612,            0.010065,           0.0024221,             0.90408,                   1,               0.995,             0.59243,             0.01888,           0.0041869,           0.0011383,           0.0092377,           0.0092377,           0.0092377
                  79,            0.038976,           0.0093189,           0.0024008,             0.88777,             0.92594,               0.995,              0.7248,            0.026189,           0.0042458,           0.0012527,           0.0092278,           0.0092278,           0.0092278
                  80,            0.041801,            0.011507,           0.0032329,             0.90137,                   1,               0.995,              0.6916,            0.020963,           0.0044289,           0.0012451,           0.0092179,           0.0092179,           0.0092179
                  81,             0.03926,            0.010018,           0.0041018,             0.75611,             0.99179,               0.995,             0.71985,             0.02167,           0.0048065,           0.0013317,            0.009208,            0.009208,            0.009208
                  82,             0.04038,            0.010138,           0.0033343,             0.82967,             0.96165,               0.995,             0.64243,            0.021604,           0.0053129,           0.0011806,           0.0091981,           0.0091981,           0.0091981
                  83,            0.032103,           0.0091924,           0.0029426,             0.79881,                   1,               0.951,             0.69883,            0.024096,           0.0049915,           0.0011679,           0.0091882,           0.0091882,           0.0091882
                  84,            0.035864,           0.0091168,           0.0038163,             0.89758,                   1,               0.995,             0.68892,            0.024946,           0.0047922,           0.0011587,           0.0091783,           0.0091783,           0.0091783
                  85,            0.035619,            0.010071,           0.0029028,             0.93275,                   1,               0.995,             0.70013,            0.020668,           0.0043507,           0.0011782,           0.0091684,           0.0091684,           0.0091684
                  86,            0.025064,            0.010054,           0.0022639,             0.86107,             0.95954,               0.995,             0.63431,            0.024197,           0.0045948,           0.0012217,           0.0091585,           0.0091585,           0.0091585
                  87,            0.035757,            0.010626,           0.0031871,             0.72087,                   1,               0.995,             0.74398,             0.02245,           0.0043917,           0.0012541,           0.0091486,           0.0091486,           0.0091486
                  88,            0.030488,           0.0093856,           0.0049415,             0.88267,                   1,               0.995,             0.58854,            0.017346,           0.0038538,           0.0013021,           0.0091387,           0.0091387,           0.0091387
                  89,            0.037495,           0.0091498,           0.0032628,              0.8005,                   1,               0.995,             0.85916,            0.019514,           0.0038185,           0.0012592,           0.0091288,           0.0091288,           0.0091288
                  90,            0.028544,           0.0094521,           0.0020981,             0.92392,                   1,               0.995,             0.55505,            0.020888,           0.0037365,           0.0011747,           0.0091189,           0.0091189,           0.0091189
                  91,            0.039907,            0.010606,           0.0054318,             0.91631,                   1,               0.995,             0.73378,            0.017916,           0.0036573,            0.001174,            0.009109,            0.009109,            0.009109
                  92,            0.033136,            0.011072,           0.0055759,             0.79556,                   1,               0.995,             0.79656,            0.018579,           0.0036726,           0.0011066,           0.0090991,           0.0090991,           0.0090991
                  93,            0.023876,           0.0088029,           0.0032447,             0.84926,             0.98521,               0.995,             0.76859,            0.020859,           0.0036697,           0.0010508,           0.0090892,           0.0090892,           0.0090892
                  94,            0.037279,           0.0078386,           0.0034753,              0.9435,                   1,               0.995,             0.80771,            0.018886,           0.0039644,          0.00099831,           0.0090793,           0.0090793,           0.0090793
                  95,            0.034047,           0.0099511,           0.0022582,             0.97049,                   1,               0.995,             0.71458,            0.020054,           0.0040617,          0.00096016,           0.0090694,           0.0090694,           0.0090694
                  96,            0.033299,            0.010126,           0.0024189,             0.97554,                   1,               0.995,             0.78165,            0.017339,           0.0037994,          0.00098286,           0.0090595,           0.0090595,           0.0090595
                  97,            0.035967,           0.0096567,           0.0036768,              0.9712,                   1,               0.995,               0.709,            0.017148,           0.0037613,            0.001012,           0.0090496,           0.0090496,           0.0090496
                  98,            0.023721,           0.0099744,           0.0018632,             0.96535,                   1,               0.995,             0.72486,            0.025755,           0.0041914,           0.0010273,           0.0090397,           0.0090397,           0.0090397
                  99,            0.035154,           0.0086404,           0.0033983,             0.95575,             0.99781,               0.995,             0.66697,             0.01734,            0.003938,           0.0010931,           0.0090298,           0.0090298,           0.0090298
                 100,            0.035104,            0.010466,           0.0059868,             0.96297,                   1,               0.995,             0.79166,            0.013706,           0.0036421,           0.0011524,           0.0090199,           0.0090199,           0.0090199
                 101,            0.032189,           0.0093647,           0.0031727,             0.93642,                   1,               0.995,             0.80146,              0.0196,           0.0038655,           0.0011148,             0.00901,             0.00901,             0.00901
                 102,            0.033592,           0.0093753,           0.0046138,             0.97152,                   1,               0.995,             0.77209,            0.015656,           0.0036633,           0.0011698,           0.0090001,           0.0090001,           0.0090001
                 103,            0.028922,           0.0096563,            0.008012,             0.89491,                   1,               0.995,             0.76283,            0.016524,           0.0040677,           0.0012207,           0.0089902,           0.0089902,           0.0089902
                 104,            0.026556,           0.0078028,            0.003095,             0.97297,                   1,               0.995,             0.72413,            0.016992,           0.0039341,            0.001284,           0.0089803,           0.0089803,           0.0089803
                 105,            0.032321,            0.010769,           0.0027143,             0.94611,                   1,               0.995,              0.7058,            0.019258,           0.0037062,           0.0011433,           0.0089704,           0.0089704,           0.0089704
                 106,            0.024891,           0.0085676,           0.0024643,             0.65164,                   1,               0.995,             0.68558,            0.019431,           0.0039628,           0.0011608,           0.0089605,           0.0089605,           0.0089605
                 107,             0.03207,            0.010312,           0.0032401,             0.96583,                   1,               0.995,             0.83315,            0.014631,           0.0036461,             0.00112,           0.0089506,           0.0089506,           0.0089506
                 108,            0.031929,            0.011973,            0.010299,             0.92138,                   1,               0.995,             0.78496,            0.019025,           0.0039437,           0.0012165,           0.0089407,           0.0089407,           0.0089407
                 109,            0.029611,           0.0086915,           0.0027844,             0.94372,                   1,               0.995,             0.74418,            0.014341,           0.0037451,           0.0012531,           0.0089308,           0.0089308,           0.0089308
                 110,            0.033141,           0.0095368,           0.0029639,             0.96271,                   1,               0.995,             0.84935,            0.016472,           0.0037851,           0.0012836,           0.0089209,           0.0089209,           0.0089209
