               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.024551,           0.0077703,           0.0022811,             0.96993,                   1,               0.995,             0.71582,            0.017476,           0.0037274,           0.0012833,           0.0078616,           0.0078616,           0.0078616
                 110,            0.036671,           0.0091656,           0.0031082,             0.95336,                   1,               0.995,             0.77811,            0.012539,           0.0035102,           0.0013123,           0.0078418,           0.0078418,           0.0078418
                 111,            0.030263,           0.0088121,           0.0024893,             0.96009,                   1,               0.995,             0.84075,            0.019289,           0.0036616,           0.0012962,            0.007822,            0.007822,            0.007822
                 112,            0.033449,            0.007832,           0.0017886,             0.96987,                   1,               0.995,             0.79147,            0.014575,            0.003401,           0.0013008,           0.0078022,           0.0078022,           0.0078022
                 113,            0.031199,           0.0083677,           0.0027569,             0.97268,                   1,               0.995,             0.78096,            0.015894,           0.0034556,           0.0012909,           0.0077824,           0.0077824,           0.0077824
                 114,            0.028194,           0.0090374,           0.0023639,             0.96765,                   1,               0.995,             0.70043,            0.016709,            0.003598,            0.001232,           0.0077626,           0.0077626,           0.0077626
                 115,            0.032717,           0.0072997,             0.00163,             0.91668,                   1,               0.995,             0.74833,            0.018839,           0.0034785,           0.0011889,           0.0077428,           0.0077428,           0.0077428
                 116,            0.028477,            0.009293,           0.0026912,             0.96296,                   1,               0.995,             0.77003,            0.014242,           0.0032773,           0.0011505,            0.007723,            0.007723,            0.007723
                 117,            0.029715,            0.011494,              0.0023,             0.95853,                   1,               0.995,             0.81292,            0.013584,           0.0032122,           0.0011372,           0.0077032,           0.0077032,           0.0077032
                 118,            0.029266,            0.010661,           0.0043618,             0.96987,                   1,               0.995,             0.74322,            0.016672,            0.003463,           0.0010996,           0.0076834,           0.0076834,           0.0076834
                 119,            0.028732,           0.0099457,           0.0020701,             0.96696,                   1,               0.995,             0.73434,            0.016921,           0.0033886,           0.0010376,           0.0076636,           0.0076636,           0.0076636
                 120,            0.033279,           0.0086662,           0.0020205,             0.96317,                   1,               0.995,             0.81756,            0.013914,           0.0030358,           0.0010822,           0.0076438,           0.0076438,           0.0076438
